Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-11-18;57,2823;57,3728;55,9986;56,2607;;
2019-11-15;56,5978;57,6853;55,9181;57,4588;;
2019-11-14;57,1338;57,4793;56,4972;56,77;;
2019-11-13;56,0967;56,9962;55,6151;56,7781;;
2019-11-12;56,6773;57,0676;56,1507;56,3867;;
2019-11-11;56,0819;56,8698;55,7558;56,3355;;
2019-11-08;55,9634;56,8334;55,0027;56,7247;;
2019-11-07;56,035;56,7302;55,9628;56,1253;;
2019-11-06;56,2669;57,0334;55,5455;55,807;;
2019-11-05;56,0537;56,8548;55,9366;56,6298;;
2019-11-04;55,1264;56,2646;55,0547;55,6999;;
2019-11-01;53,3441;55,4718;53,3262;55,4718;;
2019-10-31;54,6441;54,8234;53,8193;53,9627;;
2019-10-30;55,5736;55,7717;54,394;54,5291;;
2019-10-29;55,151;55,836;54,6462;55,4935;;
2019-10-28;55,7319;56,2641;55,1817;55,5155;;
2019-10-25;55,3885;55,9107;54,8483;55,8657;;
2019-10-24;54,8796;55,6434;54,4662;55,3648;;
2019-10-23;53,4928;55,12;52,9084;54,8593;;
2019-10-22;53,3154;54,1599;53,1267;53,558;;
2019-10-21;53,1818;53,2713;52,1436;52,8685;;
2019-10-18;53,6432;54,1098;52,9253;53,2125;;
2019-10-17;53,172;53,9638;52,803;53,8648;;
2019-10-16;53,424;54,195;52,9252;53,8957;;
2019-10-15;53,6749;54,211;52,6937;53,5114;;
2019-10-14;54,1202;54,4919;53,0596;53,7123;;
2019-10-11;54,6953;54,9398;53,7626;54,7768;;
2019-10-10;52,7833;53,8078;52,3935;53,7171;;
2019-10-09;52,8731;54,0388;52,7365;53,0917;;
2019-10-08;53,4681;53,6592;52,2119;52,7307;;
2019-10-07;52,9974;54,2982;52,9337;53,1793;;
2019-10-04;52,6733;53,7116;52,5184;53,1378;;
2019-10-03;52,5523;52,9358;51,2739;52,5979;;
2019-10-02;54,0778;54,2243;52,357;52,7231;;
2019-10-01;54,5146;55,1569;53,5878;54,0925;;
2019-09-30;56,5892;56,6443;55,7443;55,7719;;
2019-09-27;57,0462;57,3754;55,5738;56,5524;;
2019-09-26;56,8934;57,5242;56,1986;57,3048;;
2019-09-25;56,8749;56,9295;55,7367;56,8476;;
2019-09-24;58,2659;58,4931;56,7663;56,8481;;
2019-09-23;58,7893;59,0077;57,8334;58,6527;;
2019-09-20;58,7579;59,1931;58,0598;58,6129;;
2019-09-19;57,4591;59,2482;57,4139;58,3175;;
2019-09-18;58,509;58,5633;57,0614;57,4324;;
2019-09-17;62,1803;62,7698;57,8632;58,1807;;
2019-09-16;59,224;63,1312;58,807;61,6263;;
2019-09-13;54,2898;54,7945;53,695;54,3169;;
2019-09-12;55,5961;55,8333;53,7627;55,0579;;
2019-09-11;57,0844;57,4843;55,0123;55,4849;;
2019-09-10;56,7482;57,7446;56,3043;56,567;;
2019-09-09;56,2494;57,1105;55,8416;56,8386;;
2019-09-06;55,2734;56,1077;53,8768;55,7813;;
2019-09-05;54,7839;56,3936;54,5035;54,9919;;
2019-09-04;53,1766;55,3276;52,868;55,0463;;
2019-09-03;53,3967;53,4607;52,3087;53,287;;
2019-09-02;53,9296;53,9934;52,9632;53,4282;;
2019-08-30;55,0199;55,3914;54,5759;54,739;;
2019-08-29;54,4617;55,2655;54,254;55,112;;
2019-08-28;54,0467;55,0212;53,9385;54,5249;;
2019-08-27;53,0079;53,7104;52,6477;53,5933;;
2019-08-26;53,2566;54,0842;52,6808;52,9687;;
2019-08-23;54,3696;54,4148;52,7158;53,3936;;
2019-08-22;54,3264;54,958;53,6588;54,0467;;
2019-08-21;54,3138;55,2954;54,1517;54,3318;;
2019-08-20;53,9364;54,4511;53,2051;54,1441;;
2019-08-19;53,5081;53,9584;52,9046;53,8503;;
2019-08-16;53,178;53,7198;52,6002;52,9433;;
2019-08-15;53,2197;53,3094;51,7399;52,2511;;
2019-08-14;54,2814;54,4691;52,0468;52,9943;;
2019-08-13;51,8624;54,812;51,6575;54,607;;
2019-08-12;52,2155;52,5996;51,6705;52,2512;;
2019-08-09;51,2502;52,7862;51,1966;52,0986;;
2019-08-08;51,4965;51,7466;50,7103;51,4875;;
2019-08-07;52,446;52,7317;49,8661;51,1962;;
2019-08-06;53,9019;53,9823;52,5789;52,7666;;
2019-08-05;54,5162;55,008;53,3536;53,4788;;
2019-08-02;55,5646;56,6361;55,1864;55,2494;;
2019-08-01;58,4126;58,467;54,3717;55,3683;;
2019-07-31;58,4253;58,6315;58,2997;58,4073;;
2019-07-30;57,5399;58,284;57,2709;58,1585;;
2019-07-29;56,6238;57,4422;56,5878;57,3883;;
2019-07-26;56,9851;57,4071;56,608;56,8684;;
2019-07-25;56,9861;57,8048;56,8691;56,9231;;
2019-07-24;57,4147;58,07;56,2208;56,6517;;
2019-07-23;56,914;57,3436;56,0637;57,272;;
2019-07-22;56,5047;57,1021;55,9964;56,576;;
2019-07-19;55,9594;56,3157;55,0864;55,5496;;
2019-07-18;56,9187;57,4536;54,6362;55,6883;;
2019-07-17;57,6282;58,2078;56,6028;56,683;;
2019-07-16;59,2266;59,7879;56,8832;57,8811;;
2019-07-15;59,1801;59,8722;58,7452;58,7452;;
2019-07-12;59,5041;59,7885;59,1131;59,3797;;
2019-07-11;59,6987;59,9734;58,848;59,1493;;
2019-07-10;58,1283;59,8217;58,0749;59,5098;;
2019-07-09;57,0995;57,7867;56,9835;57,4029;;
2019-07-08;57,3785;58,0651;56,8435;56,9683;;
2019-07-05;56,2522;57,3002;55,8526;57,0959;;
2019-07-04;55,9089;56,6354;55,8026;55,9621;;
2019-07-03;55,4237;56,6457;54,9633;56,6191;;
2019-07-02;57,809;57,8444;55,0659;55,4199;;
2019-07-01;58,6572;58,8069;56,6129;57,3971;;
2019-06-28;58,2425;58,717;58,1019;58,4446;;
2019-06-27;58,0915;58,7423;57,7045;58,2674;;
2019-06-26;58,2028;58,8101;57,7451;58,3348;;
2019-06-25;56,7791;57,543;56,4805;57,1303;;
2019-06-24;57,6268;57,6268;56,2577;56,951;;
