Datum;Erster;Hoch;Tief;Schlusskurs
2019-12-03;0,9027;0,9036;0,9015;0,9023
2019-12-02;0,9075;0,9088;0,9018;0,9027
2019-11-29;0,9083;0,9106;0,9069;0,9076
2019-11-28;0,9088;0,909;0,9076;0,9081
2019-11-27;0,9072;0,9097;0,9072;0,9086
2019-11-26;0,908;0,9085;0,907;0,9072
2019-11-25;0,9071;0,9087;0,9065;0,908
2019-11-22;0,904;0,9078;0,9026;0,9075
2019-11-21;0,9028;0,9047;0,9013;0,904
2019-11-20;0,9027;0,9047;0,9025;0,9029
2019-11-19;0,9032;0,9039;0,9022;0,9027
2019-11-18;0,9044;0,9046;0,9017;0,9032
2019-11-15;0,9073;0,9079;0,9044;0,9049
2019-11-14;0,9084;0,9099;0,9069;0,9071
2019-11-13;0,9082;0,9095;0,9075;0,9085
2019-11-12;0,9064;0,9088;0,906;0,9082
2019-11-11;0,9076;0,9077;0,9056;0,9065
2019-11-08;0,905;0,9077;0,9046;0,9075
2019-11-07;0,9034;0,9061;0,9017;0,905
2019-11-06;0,9029;0,9037;0,9015;0,9033
2019-11-05;0,8989;0,9039;0,8977;0,903
2019-11-04;0,8955;0,8989;0,8948;0,8987
2019-11-01;0,8967;0,8985;0,8951;0,8956
2019-10-31;0,8966;0,8983;0,895;0,8968
2019-10-30;0,8999;0,9024;0,8965;0,8967
2019-10-29;0,901;0,903;0,8995;0,8999
2019-10-28;0,9027;0,9028;0,9004;0,901
2019-10-25;0,9005;0,9031;0,8991;0,9025
2019-10-24;0,8983;0,9014;0,8959;0,9004
2019-10-23;0,8987;0,9003;0,8978;0,8983
2019-10-22;0,8968;0,8993;0,8963;0,8989
2019-10-21;0,8959;0,8977;0,8946;0,897
2019-10-18;0,8987;0,8997;0,8951;0,8952
2019-10-17;0,903;0,9037;0,8983;0,8988
2019-10-16;0,9064;0,9072;0,9021;0,9032
2019-10-15;0,9069;0,9097;0,9054;0,9066
2019-10-14;0,9068;0,9079;0,9056;0,9071
2019-10-11;0,9084;0,9088;0,9041;0,9059
2019-10-10;0,9112;0,9113;0,9064;0,9085
2019-10-09;0,9127;0,9128;0,91;0,9113
2019-10-08;0,9114;0,9138;0,9095;0,9127
