Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-04-25;75,01;75,59;74,00;74,21;;
2019-04-24;74,09;74,75;74,01;74,55;;
2019-04-23;74,42;74,71;73,97;74,46;;
2019-04-18;71,50;72,04;71,18;71,94;;
2019-04-17;71,95;72,28;71,46;71,57;;
2019-04-16;70,91;71,80;70,73;71,73;;
2019-04-15;70,96;71,41;70,77;71,24;;
2019-04-12;71,04;71,87;70,90;71,51;;
2019-04-11;71,44;71,53;70,58;70,96;;
2019-04-10;70,81;71,77;70,68;71,62;;
2019-04-09;70,96;71,35;70,31;70,66;;
2019-04-08;70,62;71,19;70,41;71,06;;
2019-04-05;69,21;70,47;68,89;70,42;;
2019-04-04;69,11;70,04;68,87;69,22;;
2019-04-03;69,79;69,97;68,78;69,41;;
2019-04-02;69,08;69,55;68,70;69,45;;
2019-04-01;68,26;69,19;68,18;69,09;;
2019-03-29;68,02;68,88;67,90;68,38;;
2019-03-28;67,55;68,01;66,53;67,98;;
2019-03-27;68,12;68,35;67,17;67,81;;
2019-03-26;67,57;68,20;67,45;67,97;;
2019-03-25;66,87;67,63;66,55;67,26;;
2019-03-22;67,70;67,70;66,26;66,40;;
2019-03-21;68,24;68,69;67,56;67,66;;
2019-03-20;67,69;68,52;67,19;68,27;;
2019-03-19;67,77;68,19;67,19;67,68;;
2019-03-18;67,31;67,70;66,82;67,46;;
2019-03-15;67,53;67,74;66,12;67,02;;
2019-03-14;68,00;68,12;67,05;67,17;;
2019-03-13;66,90;67,74;66,85;67,69;;
2019-03-12;67,22;67,35;66,38;66,82;;
2019-03-11;66,48;66,76;66,07;66,58;;
2019-03-08;65,55;65,84;64,04;65,81;;
2019-03-07;66,12;66,98;65,77;66,12;;
2019-03-06;65,52;66,18;65,30;65,91;;
2019-03-05;65,40;66,16;65,05;65,67;;
2019-03-04;65,39;66,32;65,06;65,63;;
2019-03-01;66,82;66,87;64,59;64,92;;
2019-02-28;65,99;66,18;65,67;66,03;;
2019-02-27;65,49;66,71;65,28;66,33;;
2019-02-26;64,78;65,58;64,74;65,32;;
2019-02-25;66,84;67,35;64,52;64,62;;
2019-02-22;67,20;67,72;66,92;66,97;;
2019-02-21;67,12;67,29;66,73;66,93;;
2019-02-20;66,44;67,37;65,63;66,99;;
